location,Latitude,Longitude
227,-32.519733,115.730906
228,-33.886735,151.217946
229,-28.659639,153.61755
230,-26.667097,153.078001
231,-34.946254,138.625052
232,-32.12134,115.84877
233,-37.911191,145.099132
234,-33.425067,151.366191
235,-37.842272,145.171381
236,-31.448373,152.878969
237,-41.438964,147.137458
238,-34.975915,138.526217
239,-31.969162,115.764822
240,-27.502038,152.99079
242,-37.665516,145.072088
243,-33.739522,151.06714
244,-33.795112,151.141566
245,-31.956317,115.813998
246,-31.922035,115.826039
248,-33.87981,151.238159
249,-24.88159,152.33613
251,-32.923477,151.75326
252,-34.943239,138.624764
253,-27.489004,153.004417
255,-36.381346,145.420225
256,-33.7619,151.266341
257,-32.923193,151.723574
258,-27.476647,153.137372
260,-35.375303,149.101766
261,-19.241922,146.798487
262,-37.882458,145.090242
263,-34.046979,151.124468
264,-37.840994,144.978837
265,-35.174734,149.062781
266,-31.978011,141.455658
268,-33.814154,151.212701
269,-37.751064,144.908925
270,-35.300229,149.132935
271,-33.829497,151.009608
272,-35.81307,144.219166
273,-32.739624,151.555494
274,-27.627674,152.764443
275,-33.762897,151.078203
276,-33.82362,151.004516
278,-33.86451,151.093603
279,-23.875571,151.238037
280,-32.948413,151.686045
281,-20.292619,148.681334
282,-32.925475,151.756224
283,-27.81654,153.29067
284,-34.551531,150.860291
286,-38.130839,147.072163
288,-33.826018,151.190973
289,-33.858893,151.270486
290,-38.627623,145.604151
292,-33.84705,151.07254
294,-35.502607,138.784477
295,-32.037501,115.856267
296,-27.493441,152.96765
297,-37.845298,145.04718
298,-32.018868,115.836677
299,-31.972322,115.950555
300,-35.308632,149.129659
301,-37.868214,144.97511
302,-31.934073,115.836696
303,-27.64047,152.847481
305,-28.101529,153.410788
306,-33.895757,151.051405
307,-33.842251,151.228563
308,-38.218352,144.272109
309,-33.861359,151.068007
310,-41.440963,147.16389
311,-23.529347,148.108512
312,-27.46532,153.104539
313,-33.771731,150.981958
314,-27.445349,153.045469
315,-34.908899,138.628408
316,-33.91341,150.92
317,-23.37825,150.513444
318,-31.064252,152.847158
320,-33.807082,151.083766
321,-32.935521,151.765114
322,-28.813836,153.312705
323,-36.018674,145.996713
324,-37.836138,145.099784
325,-24.885883,152.32249
326,-36.237933,149.117559
327,-37.879722,145.020885
328,-34.06609,150.693664
330,-16.9197,145.76274
332,-26.416192,153.032112
334,-33.636325,151.330596
335,-37.850412,145.095648
336,-37.819914,145.31055
337,-27.979982,153.410714
338,-33.682288,151.274552
340,-33.848246,151.204336
341,-28.24137,152.041496
342,-37.632886,144.499456
343,-33.436294,149.527519
344,-34.298183,148.335132
345,-33.255871,149.095082
347,-37.860073,145.058318
348,-33.878997,151.262154
349,-31.457943,152.729791
350,-33.79826,151.139214
351,-33.571995,151.014325
352,-33.862471,151.203653
353,-33.846819,151.212427
354,-37.864419,144.77165
356,-42.865384,147.279766
358,-34.037903,151.072112
359,-37.891709,145.143762
360,-27.599743,151.903772
361,-28.237192,153.56221
363,-31.936402,115.850365
364,-34.033909,151.085873
365,-37.733402,144.88251
